beds,baths,area,price,county
2.0,4.0,206.80044593088073,4338000, Pearl Jumeirah
3.0,3.0,158.8628762541806,2773888, Dubai Hills Estate
2.0,3.0,111.48272017837236,1200000, Dubai Hills Estate
3.0,3.0,140.28242289111856,1200000, Dubai Marina
4.0,5.0,390.18952062430327,3099990, The Villa
4.0,5.0,226.58862876254182,1588888, Arabian Ranches 3
7.0,8.0,1858.045336306206,33500000, Emirates Hills
1.0,2.0,88.90746934225196,550000, Discovery Gardens
3.0,2.0,208.65849126718695,2100000, The Springs
2.0,2.0,108.69565217391305,990000, Al Furjan
3.0,4.0,423.2627276105537,4800000, Palm Jumeirah
0.6,1.0,54.626532887402455,900000, DIFC
4.0,5.0,585.2842809364549,24000000, Dubai Marina
2.0,3.0,100.9847640282423,899000, Dubai Sports City
0.6,1.0,37.904124860646604,460000, Al Furjan
4.0,4.0,278.7068004459309,2400000, DAMAC Hills (Akoya by DAMAC)
2.0,2.0,103.40022296544036,775000, Dubai Silicon Oasis
2.0,3.0,118.35748792270532,1650000, Jumeirah Beach Residence (JBR)
2.0,3.0,161.83574879227055,2399000, DIFC
1.0,2.0,82.86882199925678,1600000, DIFC
1.0,2.0,81.84689706428837,585000, Dubai Silicon Oasis
2.0,3.0,130.24897807506503,700000, Dubai Production City (IMPZ)
0.6,1.0,36.69639539204757,405000, Al Furjan
0.6,1.0,31.12225938312895,359999, Meydan City
5.0,5.0,571.4418431809737,7199950, The Meadows
2.0,3.0,152.4526198439242,900000, Dubai Investment Park (DIP)
3.0,3.0,165.83054626532888,1741000, Jumeirah Village Circle (JVC)
2.0,2.0,125.32515793385359,1398000, The Views
3.0,2.0,228.1679672984021,2095000, The Springs
1.0,2.0,89.92939427722037,500000, Discovery Gardens
2.0,2.0,105.90858416945375,625000, Liwan
2.0,3.0,138.51727982162765,1050000, Dubai Marina
1.0,2.0,83.24043106651803,735000, Jumeirah Lake Towers (JLT)
3.0,4.0,198.25343738387218,2495000, The Hills
2.0,3.0,129.041248606466,1385000, Jumeirah Village Circle (JVC)
0.6,1.0,37.71832032701598,349999, Liwan
1.0,2.0,90.30100334448161,826276, Jumeirah Village Circle (JVC)
6.0,6.0,293.84986993682645,2800000, DAMAC Hills (Akoya by DAMAC)
9.0,7.0,3883.4076551467856,42000000, Dubai Hills Estate
1.0,2.0,83.61204013377927,450000, Dubai Sports City
2.0,3.0,140.37532515793387,1200000, Mirdif
3.0,3.0,174.74916387959868,1758000, Akoya Oxygen
3.0,4.0,169.453734671126,1600000, Dubai Marina
1.0,2.0,113.52657004830918,1362000, Al Barari
0.6,1.0,57.227796358231146,850000, Bur Dubai
3.0,4.0,239.50204384986995,2075000, DAMAC Hills (Akoya by DAMAC)
5.0,5.0,375.139353400223,4100000, Arabian Ranches 2
6.0,6.0,457.4507617985879,6800000, The Meadows
1.0,2.0,181.99554069119287,675000, Jumeirah Village Circle (JVC)
4.0,4.0,385.916016350799,3450000, Jumeirah Park
4.0,5.0,299.6098104793757,3300888, Arabian Ranches 2
